requirement,title,capabilities,lead_package,related_packages,candidate_scenarios,mapping_status,runtime_verdict,run_evidence,target_entry_point,limitation
AUTH-001,Закрытый доступ,CAP-AUTH-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PARTIAL,AUTH-A01;AUTH-A02;auth/evidence/run-sc-a01.json;auth/evidence/run-sc-a02.json;auth-review.json,auth/target-spec.md;t-auth-errors,Защищённый deep route привёл на login; runtime 401 recovery прошёл; варианты exact restricted allowlist не проверялись
AUTH-002,Создание аккаунта,CAP-AUTH-002,AUTH,AUTH;ADMIN,SC-A01;SC-A02;SC-A03,REFINED,PARTIAL,AUTH-A01;auth/evidence/fixture-index.json;auth-review.json;ADMIN A-RUN-002,auth/target-spec.md;t-auth-session-exit,Synthetic admin UI create and one-time password sampled; full onboarding restrictions separately in AUTH.
AUTH-003,Временный пароль,CAP-AUTH-003,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,FAIL_WITH_TARGET,AUTH-A01;AUTH-EXIT-MIN-01;auth/evidence/first-password-exit-probe.json;auth-review.json,auth/target-spec.md;t-auth-session-exit,Mandatory first-change прошёл; повтор temporary password не проверен; Exit не завершает restricted session
AUTH-004,Пароль,CAP-AUTH-003,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS_WITH_FINDING,AUTH-A01;auth/evidence/run-sc-a01.json;auth-review.json,auth/target-spec.md;t-auth-errors,Valid password принят; weak password отклонён; найдены raw copy/error semantics; optional generator не проверялся
AUTH-005,Обычный вход,CAP-AUTH-004,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS_WITH_FINDING,AUTH-A01;AUTH-A02;AUTH-NEG-01;auth-review.json,auth/target-spec.md;t-auth-errors,"Success/wrong/blocked/reauth прошли; keyboard behavior проверен автоматизацией, не человеком"
AUTH-006,Сессия,CAP-AUTH-004,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PARTIAL_FAIL,AUTH-A02;AUTH-EXIT-MIN-01;auth/evidence/run-sc-a02.json;auth/evidence/first-password-exit-probe.json;auth-review.json,auth/target-spec.md;t-auth-session-exit,Несколько sessions и один revoke-control прошли; sliding7days и revoke-others после password change не проверялись; FirstPassword Exit нарушает logout semantics
AUTH-007,Восстановление,CAP-AUTH-004,AUTH,AUTH;ADMIN,SC-A01;SC-A02;SC-A03,REFINED,FAIL_WITH_LIMITATION,auth-review.json;ADMIN A-RUN-003/004,auth/target-spec.md;t-auth-errors,Reset revokes old credential/session; applied response loss leaves confirm available. No second reset performed; BUG-038 P2 target accepted; protocol implementation not performed.
AUTH-008,Активные сессии,CAP-AUTH-004,AUTH,AUTH;RESULTS,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,AUTH-A02;AUTH-A03;auth/evidence/a02-active-sessions-390.png;auth-review.json;R-RUN-PROFILE-SESSIONS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Other-session UI confirm/pending and count1→0 observed. Current-session negative and same/different-actor reauth only component tests, no browser expired-session replay."
ADM-001,Доступ,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD01;SC-AD02;SC-AD03;SC-AD04,REFINED,PARTIAL,A-RUN-001;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,Active-admin route verified; non-admin all-endpoints matrix not rerun in this package
ADM-002,Список пользователей,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD04;SC-AD08,REFINED,PASS,A-RUN-001/A-RUN-005;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,"Observed populated, loading, error, retry-empty, active and blocked states; pagination absent from requirement"
ADM-003,Создание,CAP-AUTH-002;CAP-ADMIN-001,ADMIN,ADMIN;AUTH,SC-AD01,REFINED,PASS_WITH_LIMITATION,A-RUN-002;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,One duplicate email rejected; exact case-fold pair not separately replayed
ADM-004,Редактирование,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD02;SC-AD05,REFINED,PARTIAL,A-RUN-002/A-RUN-006;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,Edit modal and role lifecycle verified; full invalid-field matrix and all optional fields not replayed; stable detail route absent
ADM-005,Блокировка,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD02,REFINED,PARTIAL,A-RUN-005;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,Session/login/directory exclusion pass; completed-history retention and captain handover not replayed
