scenario,package,viewport,roles,state_coverage,baseline,verdict,run_evidence,limitation
SC-A01,AUTH,390x844,synthetic active first-run/returning; alternate active; blocked API control,login/first password/onboarding/tutorial entry,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,auth/runs.csv;auth/evidence/run-sc-a01.json;auth/evidence/first-password-exit-probe.json;auth-review.json,"No completed tutorial/isolation; desktop is a subset, not full mobile replay; no human participant or physical device."
SC-A01,AUTH,1440x900,synthetic active first-run/returning; alternate active; blocked API control,login/first password/onboarding/tutorial entry desktop subset,GAP012-r6 accepted local; candidate-source.json,PARTIAL,auth/runs.csv;auth/evidence/run-sc-a01.json;auth/evidence/first-password-exit-probe.json;auth-review.json,"No completed tutorial/isolation; desktop is a subset, not full mobile replay; no human participant or physical device."
SC-A02,AUTH,390x844,synthetic active first-run/returning; alternate active; blocked API control,runtime401/same actor draft/different actor clear/no mutation replay,GAP012-r6 accepted local; candidate-source.json,PASS_SAMPLED,auth/evidence/run-sc-a02.json;auth-review.json,Profile revoke UI not exercised; API fixture control only. Desktop recovery not replayed.
SC-A02,AUTH,1440x900,synthetic active first-run/returning; alternate active; blocked API control,not replayed,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,,Profile revoke UI not exercised; API fixture control only. Desktop recovery not replayed.
SC-A03,AUTH,390x844,synthetic active first-run/returning; alternate active; blocked API control,empty Home/Profile sessions/restart/Help503 retry/feedback503 draft,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,auth/evidence/run-sc-a03.json;auth-review.json,"Populated Home, period races and tutorial isolation belong to RESULTS. Help recovery mobile only. No WebKit/real zoom/spoken AT."
SC-A03,AUTH,1440x900,synthetic active first-run/returning; alternate active; blocked API control,empty Home geometry only,GAP012-r6 accepted local; candidate-source.json,PARTIAL,auth/evidence/run-sc-a03.json;auth-review.json,"Populated Home, period races and tutorial isolation belong to RESULTS. Help recovery mobile only. No WebKit/real zoom/spoken AT."
SC-M01,MATCH,390x844,nonplaying ordinary creator C; A/B players,valid manual1v1/create/start; no invitations; MATCH directory/search evidence,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,pilot/runs.csv P-MOBILE-01;match/runs.csv M01;match-review.json,Accepted pilot create/start plus MATCH directory/search; no human usability session.
SC-M01,MATCH,1440x900,nonplaying ordinary creator C; A/B players,valid manual1v1/create/start; no invitations; MATCH directory/search evidence,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,pilot/runs.csv P-DESKTOP-01;match/runs.csv M01;match-review.json,Accepted pilot create/start plus MATCH directory/search; no human usability session.
SC-M02,MATCH,390x844,nonplaying creator; registered/guest/team roster,2v2 custom rules/team/guest/judge/optional invite creation,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,match/runs.csv M02;match/evidence/m03-main-match-created.json;match-review.json,Quick-choice destination ambiguity is expert hypothesis. Desktop full creation not replayed.
SC-M02,MATCH,1440x900,nonplaying creator; registered/guest/team roster,not full 2v2 creation replay,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,,Quick-choice destination ambiguity is expert hypothesis. Desktop full creation not replayed.
SC-M03,MATCH,390x844,creator-player; invited players/judge,invitation accept/decline/judge accept; challenge/revenge,GAP012-r6 accepted local; candidate-source.json,PASS_WITH_FINDINGS,match/runs.csv M03/M05;match-review.json,No email/push; expiry not independently replayed. Narrow360 challenge prefill sampled. Desktop is subset.
SC-M03,MATCH,1440x900,creator-player; invited players/judge,challenge pending controls subset,GAP012-r6 accepted local; candidate-source.json,PARTIAL,match/runs.csv M03/M05;match-review.json,No email/push; expiry not independently replayed. Narrow360 challenge prefill sampled. Desktop is subset.
SC-M04,MATCH,390x844,creator; participant; current judge; outsider; active admin,cancel dialog/persisted outcome,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,match/runs.csv M04/M06;match-review.json,Replacement explicit invitation sent through API to prove missing UI entry. No fresh cancel race. Admin403 follows D17; recovery path pending ADMIN.
SC-M04,MATCH,1440x900,creator; participant; current judge; outsider; active admin,edit replacement invite lifecycle and actor/action matrix,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,match/runs.csv M04/M06;match-review.json,Replacement explicit invitation sent through API to prove missing UI entry. No fresh cancel race. Admin403 follows D17; recovery path pending ADMIN.
SC-J01,JUDGE,390x844,creator/current judge; target; former owner; same user other auth session,setup held; narrow360 and landscape844x390 rapid/Undo (separate viewports),GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,Mobile row references separate portrait/narrow/landscape runs; not full same-viewport replay. Physical touch/spoken AT not tested.
SC-J01,JUDGE,1440x900,creator/current judge; target; former owner; same user other auth session,manual correction keyboard focus/persisted correction,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,Mobile row references separate portrait/narrow/landscape runs; not full same-viewport replay. Physical touch/spoken AT not tested.
SC-J02,JUDGE,390x844,creator/current judge; target; former owner; same user other auth session,handover/ownership/second auth session,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,"Same phone inherited accepted pilot; no physical transfer or TTL expiry; release success not replayed, failure only."
SC-J02,JUDGE,1440x900,creator/current judge; target; former owner; same user other auth session,handover directory loading/error,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,"Same phone inherited accepted pilot; no physical transfer or TTL expiry; release success not replayed, failure only."
SC-J03,JUDGE,390x844,creator/current judge; target; former owner; same user other auth session,pending/continue/confirm/finished10:2,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,Detailed statistics UI belongs RESULTS; authoritative result and pilot stats are distinct evidence.
