run_id,scenario_id,utc_time,viewport,role,result,user_task,observable_result,evidence,limitations_findings
R-RUN-HISTORY-SEARCH,SC-R01,2026-09-14T08:42:00Z,390x844,participant,PASS,"Find matches with a named opponent","Search returned matching rows; row context did not name the opponent","evidence/runtime/history-search-390.png;evidence/runtime/runtime-facts.json","F-RESULTS-001;F-RESULTS-002;no human session"
R-RUN-HISTORY-PAGE,SC-R01,2026-09-14T08:42:00Z,360x780,participant,PASS,"Continue a 22-match history and recover from a page error","20-row first page and Show more exposed; injected 503 preserved existing rows and recovery","evidence/runtime/history-pagination-error-360.png;evidence/runtime/runtime-facts.json","Injected deterministic 503; browser zoom NOT_TESTED"
R-RUN-HISTORY-BACK,SC-R01,2026-09-14T08:43:04Z,component-runtime,participant,PASS,"Return from detail without losing history context","Focused test restored filters search and loaded pages; actor-scoped one-shot state","evidence/focused-tests.txt","Real-browser detail Back not separately traced"
R-RUN-RANKINGS,SC-R02,2026-09-14T08:42:00Z,1440x1000,participant,PASS,"Compare all-time month and team rankings and open/challenge a player","All period/team controls, podium/list/card and challenge guard rendered; superseded response guard exists","evidence/runtime/rankings-all-1440.png;evidence/runtime/rankings-month-1440.png;evidence/runtime/rankings-team-1440.png;evidence/focused-tests.txt","Week API covered by source/focused tests; no DST boundary fixture"
R-RUN-PROFILE-PUBLIC,SC-R03,2026-09-14T08:42:00Z,1440x1000,active participant,PASS,"Inspect active and blocked historical players","Active card hid email/birth date and offered challenge; blocked historical card stayed readable and had no challenge","evidence/runtime/profile-public-1440.png;evidence/runtime/profile-blocked-historical-1440.png;evidence/runtime/runtime-facts.json","Synthetic users"
R-RUN-PROFILE-VALIDATION,SC-R03,2026-09-14T08:42:00Z,390x844,profile owner,FAIL,"Correct an invalid long organization value","Draft stayed at 201 chars but generic 400 was not field-associated and focus became body","evidence/runtime/profile-validation-error-390.png;evidence/runtime/runtime-facts.json","F-RESULTS-003;spoken AT NOT_TESTED"
R-RUN-PROFILE-SESSIONS,SC-R03,2026-09-14T08:42:00Z,390x844,profile owner,PASS,"End another active session","Confirmation and pending state rendered; other-session button count changed 1→0","evidence/runtime/profile-session-revoke-pending-390.png;evidence/runtime/runtime-facts.json","Current-session negative case from focused tests"
R-RUN-REAUTH,SC-R03,2026-09-14T08:43:04Z,component-runtime,profile owner,PASS,"Resume an unsaved draft after expiry without replay; switch actor safely","34-test focused set includes same-actor draft retention different-actor clearing and exactly one failed mutation attempt","evidence/focused-tests.txt","Not repeated through live browser session expiry"
R-RUN-NOTIF-LIFECYCLE,SC-R04,2026-09-14T08:42:00Z,390x844,invited participant,PASS,"Distinguish pending read declined expired and unavailable invitations","Pending read remained actionable; terminal rows showed reasons and no actions; popup used only live invite","evidence/runtime/notifications-history-390.png;evidence/runtime/runtime-facts.json","Physical mobile NOT_TESTED"
R-RUN-NOTIF-READ,SC-R04,2026-09-14T08:42:00Z,390x844,notification owner,FAIL,"Use Actual to see only items needing attention","Just-read non-actionable row remained until manual refresh while its label already said Read","evidence/runtime/notifications-actual-after-read-390.png;evidence/runtime/runtime-facts.json","F-RESULTS-004"
R-RUN-HOME-POPULATED,SC-R01,2026-09-14T08:42:00Z,390x844+1440x1000,operator,PASS,"Choose the next action from a populated Home","Five metrics rival/revenge active event notification/profile ranking period and five recent events all rendered","evidence/runtime/home-results-390.png;evidence/runtime/home-results-1440.png","GAP-015 target refinement; current order metrics-first"
R-RUN-HOME-JUDGE-RELEASE,SC-R01,2026-09-14T08:42:00Z,1440x1000,former judge,PASS,"Open a match after releasing judge ownership","Home retained historical judge label; detail had no active judge and required Судить before score ownership","evidence/runtime/home-results-1440.png;evidence/runtime/match-free-judge-detail-1440.png;evidence/runtime/runtime-facts.json","F-RESULTS-005;no rights defect observed"
R-RUN-TUTORIAL,SC-R03,2026-09-14T08:42:00Z,API+browser fixtures,profile owner,PASS,"Complete tutorial without changing competitive results or onboarding completion implicitly","History stats ranking and rival unchanged; tutorial absent; completion stayed null until explicit complete","evidence/runtime/runtime-facts.json","Tutorial judge screen not separately screenshot"
R-RUN-PLATFORM-LIMITS,SC-R01-SC-R04,2026-09-14T08:42:00Z,physical/WebKit/AT/zoom,all,NOT_TESTED,"Platform parity","No evidence claimed","evidence/runtime/runtime-facts.json#limitations","Physical mobile;WebKit;spoken screen reader;true browser zoom NOT_TESTED"
