run_id,scenario,utc_time,viewport,actor,result,actual_steps,observable_success,evidence,limits
J-RUN-SETUP,SC-J01,2026-09-13T23:29:23Z,390x844,creator judge,FAIL,Захват → первая подача → удержать Start → изменить подачу и стороны,Start сохранился и открыл счёт; controls захваченной start/setup операции остались enabled,evidence/j01-setup-390.json;evidence/j02-setup-pending-controls-390.json; dedup BUG-026,Дефект UX; корректность mutation прошла
J-RUN-RAPID,SC-J01,2026-09-13T23:29:23Z,844x390 landscape,creator judge,PASS,Tap A +1 → удержать первый response → tap A +1 → очередь 2 → release → Undo,Authoritative score +2 затем -1; один in-flight request; +1 высотой 48px,evidence/j05-rapid-queue-landscape.json;evidence/j06-after-undo-landscape.json,Chromium automation не physical touch
J-RUN-RESPONSIVE,SC-J01,2026-09-13T23:29:23Z,360x800,creator judge,PASS,Открыть live scoring в narrow viewport,Horizontal overflow отсутствует; обе +1 высотой 56px,evidence/j04-live-360.json;evidence/screenshots/j04-live-360.png,Системная keyboard и browser zoom не проверялись
J-RUN-CORRECTION,SC-J01,2026-09-13T23:29:23Z,1440x900,creator judge,FAIL,Keyboard открыть correction → focus → cancel → focus → снова открыть и сохранить 3:1/server B,Correction сохранилась; focus был BODY на входе и выходе,evidence/j07-correction-open-focus-1440.json;evidence/runtime-states.json,F-JUDGE-002; spoken AT не проверялся
J-RUN-HANDOVER-DIRECTORY,SC-J02,2026-09-13T23:29:23Z,1440x900,creator judge,FAIL,Открыть Действия при held directory GET → resolve → reload с directory 503,Pending/error не различимы; select enabled; retry отсутствует,evidence/j08-handover-directory-pending-1440.json;evidence/j09-handover-directory-error-1440.json,dedup BUG-025
J-RUN-KNOWN-FAILURE,SC-J04,2026-09-13T23:29:23Z,1440x900,creator judge,FAIL,Инъецировать point 503 → +1 → проверить alert и API state,Score/version не записаны; error видим с недостаточным dark contrast,evidence/j10-known-write-failure-dark-1440.json;evidence/screenshots/j10-known-write-failure-dark-1440.png,dedup BUG-024; exact 2.58:1 из принятого component evidence
J-RUN-UNKNOWN-OUTCOME,SC-J04,2026-09-13T23:29:23Z,1440x900,creator judge,FAIL,Дать серверу применить +1 → оборвать response → дождаться authoritative refresh,Score вырос один раз и exact key найден; alert говорит unconfirmed и предлагает повтор,evidence/j11-unknown-outcome-authoritative-score-1440.json;evidence/authoritative-readbacks.json,F-JUDGE-001 подтверждена независимым repro как BUG-029
J-RUN-VERSION-CONFLICT,SC-J04,2026-09-13T23:29:23Z,1440x900,creator judge,PASS,Записать B вторым client → отправить stale intent A,Очередь остановлена; видимо сообщение другого устройства; authoritative refresh,evidence/j12-version-conflict-authoritative-refresh-1440.json,Concurrent intent не auto-replay-ится
J-RUN-OFFLINE,SC-J04,2026-09-13T23:29:23Z,390x844,creator judge,FAIL,Reload стабильного state → offline → +1,Последнее valid state сохранено; общая инструкция повтора; recovery actions 0,evidence/j13-offline-no-recovery-action-390.json,Controlled Chromium offline; F-JUDGE-001
J-RUN-HANDOVER,SC-J02,2026-09-13T23:29:23Z,390x844,creator → target judge,PASS,Выбрать target → transfer → target открывает direct judge route и acquire,Score сохранён; target стал active judge,evidence/j14-handover-ready-390.json;evidence/j15-handover-target-acquired-390.json,Разные auth sessions в одном Chromium process
J-RUN-OWNERSHIP,SC-J02,2026-09-13T23:29:23Z,390x844,former creator и target second auth session,PASS,Прежний judge открывает direct route → тот же target из другой auth session,Обе mutation surfaces заблокированы; показаны view/retry/back,evidence/j16-former-owner-blocked-390.json;evidence/j17-same-user-other-device-blocked-390.json,Blocked-user status не проверялся
J-REUSE-PILOT,SC-J01/SC-J02/SC-J03,accepted pilot 2026-09-14,390x844,C → D,PASS,Тот же signed-in phone продолжает без identification; прежний C→D handover и finish,Принятые persisted result и stats пилота,../pilot/runs.csv#P-MOBILE-01,Exact accepted run переиспользован; не собственный; physical handoff не проверялся
J-RUN-CONFIRM,SC-J03,2026-09-13T23:29:23Z,390x844,target judge,PASS,Correction 8:2 → +1 pending → Continue → +1 pending → Confirm,Pending actions корректны; finished 10:2 winner A; activeJudge null,evidence/j18-pending-confirmation-390.json;evidence/j19-continue-after-proposal-390.json;evidence/j20-finished-detail-390.json;evidence/authoritative-readbacks.json,Stats UI отдельно не перечитывался
J-RUN-ACTOR-MATRIX,SC-J01/SC-J03/SC-J05,2026-09-13T23:29:23Z,1440x900,creator/participant/current judge/other active user,FAIL,Проверить visible buttons в waiting/in-progress/pending/finished,Authorization/visibility сохранены; записаны redundant/equal-weight actions,evidence/runtime-states.json;evidence/j21-waiting-creator-detail-1440.json;evidence/j23-in-progress-judge-detail-1440.json,F-JUDGE-003 — expert hypothesis; outsider live 403 следует visibility rule
J-RUN-NO-SHOW,SC-J05,2026-09-13T23:29:23Z,390x844,creator,PASS,Открыть confirmation неявки → подтвердить,Stopped 0:0 с finishReason no_show,evidence/j22-no-show-confirm-390.json;evidence/authoritative-readbacks.json,Domain default winner A при 0:0; fabricated score нет
J-RUN-STOP,SC-J05,2026-09-13T23:29:23Z,390x844,current judge,PASS,Открыть early-stop form → подтвердить default winner A,Stopped 0:0 с finishReason manual_stop,evidence/j24-stop-form-390.json;evidence/authoritative-readbacks.json,Reason text optional и не введён
J-RUN-RELEASE,SC-J02/SC-J04,2026-09-13T23:29:23Z,390x844,creator judge,PASS,Acquire waiting slot → release 503 → setup Cancel,Одна навигация и destination warning с TTL fallback,evidence/j25-release-failure-destination-warning-390.json,120-секундный TTL не ожидался
J-RUN-WEBKIT,SC-J01/SC-J04,not run,390/844,active judge,NOT_TESTED,N/A,N/A,,WebKit/Safari недоступен в bounded run
J-RUN-PHYSICAL,SC-J02,not run,physical phone handoff,creator → target,NOT_TESTED,N/A,N/A,,Физическое iOS/Android устройство отсутствовало
J-RUN-AT-ZOOM,SC-J01/SC-J02,not run,zoom200 and spoken AT,keyboard/screen reader,NOT_TESTED,N/A,N/A,,Browser UI zoom и VoiceOver/TalkBack не проверялись
