requirement,title,capabilities,lead_package,related_packages,candidate_scenarios,mapping_status,runtime_verdict,run_evidence,target_entry_point,limitation
AUTH-001,Закрытый доступ,CAP-AUTH-001,AUTH,AUTH,SC-A01;SC-A02,REFINED,PARTIAL,"AUTH-A01;AUTH-A02;evidence/run-sc-a01.json;evidence/run-sc-a02.json",T-AUTH-ERRORS,"Защищённый deep route привёл на login; runtime 401 recovery прошёл; варианты exact restricted allowlist не проверялись"
AUTH-002,Создание аккаунта,CAP-AUTH-002,AUTH,ADMIN,SC-A01,REFINED,PARTIAL,"AUTH-A01;evidence/fixture-index.json",T-AUTH-SESSION-EXIT,"Admin API создал synthetic users с required fields; UI создания и one-time password принадлежат ADMIN"
AUTH-003,Временный пароль,CAP-AUTH-003,AUTH,AUTH,SC-A01,REFINED,FAIL_WITH_TARGET,"AUTH-A01;AUTH-EXIT-MIN-01;evidence/first-password-exit-probe.json",T-AUTH-SESSION-EXIT,"Mandatory first-change прошёл; повтор temporary password не проверен; Exit не завершает restricted session"
AUTH-004,Пароль,CAP-AUTH-003,AUTH,AUTH,SC-A01,REFINED,PASS_WITH_FINDING,"AUTH-A01;evidence/run-sc-a01.json",T-AUTH-ERRORS,"Valid password принят; weak password отклонён; найдены raw copy/error semantics; optional generator не проверялся"
AUTH-005,Обычный вход,CAP-AUTH-004,AUTH,AUTH,SC-A01;SC-A02,REFINED,PASS_WITH_FINDING,"AUTH-A01;AUTH-A02;AUTH-NEG-01",T-AUTH-ERRORS,"Success/wrong/blocked/reauth прошли; keyboard behavior проверен автоматизацией, не человеком"
AUTH-006,Сессия,CAP-AUTH-004,AUTH,AUTH,SC-A01;SC-A02,REFINED,PARTIAL_FAIL,"AUTH-A02;AUTH-EXIT-MIN-01;evidence/run-sc-a02.json;evidence/first-password-exit-probe.json",T-AUTH-SESSION-EXIT,"Несколько sessions и один revoke-control прошли; sliding7days и revoke-others после password change не проверялись; FirstPassword Exit нарушает logout semantics"
AUTH-007,Восстановление,CAP-AUTH-004,AUTH,ADMIN,SC-A01,REFINED,NOT_TESTED,,T-AUTH-ERRORS,"Отсутствие self-service видно на login; admin reset/old-password/session invalidation принадлежат ADMIN и не replayed"
AUTH-008,Активные сессии,CAP-AUTH-004,AUTH,RESULTS,SC-A02;SC-A03,REFINED,PARTIAL,"AUTH-A02;AUTH-A03;evidence/a02-active-sessions-390.png",T-AUTH-SESSION-EXIT,"Sessions отображены; другая session завершена через API-контроль, а не кнопку Profile"
HOME-001,Состав,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PASS_EMPTY_STATE,"AUTH-A03;evidence/a03-home-empty-390.png;evidence/a03-home-empty-1440.png",T-AUTH-HOME,"Все required entry blocks показаны; populated content не replayed"
HOME-002,Hero,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PARTIAL_WITH_HYPOTHESIS,"AUTH-A03;evidence/run-sc-a03.json",T-AUTH-HOME,"Пять metrics и rival explanation показаны; populated rival/revenge не replayed"
HOME-003,Последние события,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PARTIAL,"AUTH-A03;evidence/a03-home-empty-390.png",T-AUTH-HOME,"Empty recent state показан; finished match/tournament cards не replayed"
HOME-004,Активные события,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PARTIAL,"AUTH-A03;evidence/a03-home-empty-390.png",T-AUTH-HOME,"Empty action показан; simultaneous safe standalone+tournament не replayed"
HOME-005,Рейтинг,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PARTIAL,"AUTH-A03;evidence/a03-home-empty-1440.png",T-AUTH-HOME,"Ranking section есть; period switch/race и globally empty ranking не replayed"
HOME-006,Empty states,CAP-HOME-001,AUTH,AUTH,SC-A03,REFINED,PASS_SAMPLED,"AUTH-A03;evidence/run-sc-a03.json",T-AUTH-HOME,"Наблюдались active/recent empties и rival explanation; global ranking в fixture DB был непуст"
ONB-001,Первый запуск,CAP-ONB-001,AUTH,AUTH,SC-A01,REFINED,PASS,"AUTH-A01;evidence/run-sc-a01.json",T-AUTH-ONBOARDING,"First-password success автоматически открыл persisted onboarding"
ONB-002,Возможности,CAP-ONB-001,AUTH,AUTH,SC-A01,REFINED,PASS_WITH_HYPOTHESIS,"AUTH-A01;evidence/a01-onboarding-step1-390.png;evidence/a01-onboarding-notifications-390.png",T-AUTH-ONBOARDING,"Наблюдались все семь тем и путь закрытия; одинаковый смысл «Далее»/«Пропустить» — экспертная гипотеза"
ONB-003,Учебный матч,CAP-ONB-001,AUTH,JUDGE,SC-A01,REFINED,PARTIAL,"AUTH-A01;evidence/a01-tutorial-entry-390.png",T-AUTH-ONBOARDING,"Tutorial judge route открыт, cancel вернул назад; полный tutorial result не завершён"
ONB-004,Изоляция,CAP-ONB-001,AUTH,RESULTS,SC-A01,REFINED,NOT_TESTED,,T-AUTH-ONBOARDING,"Completed tutorial result не сверялся с history/statistics/ranking/rival"
ONB-005,Повтор,CAP-ONB-001,AUTH,AUTH,SC-A03,REFINED,PASS,"AUTH-A03;evidence/a03-profile-sessions-390.png",T-AUTH-ONBOARDING,"Profile restart сбросил/opened onboarding; server state первого шага наблюдался"
HELP-001,FAQ,CAP-HELP-001,AUTH,AUTH,SC-A03,REFINED,PASS,"AUTH-A03;evidence/a03-help-390.png;evidence/a03-help-load-error-390.png",T-AUTH-HELP,"Категории загрузились, после 503 retry восстановил FAQ; empty articles response не injected"
HELP-002,Контекстные подсказки,CAP-HELP-001,AUTH,MATCH;JUDGE;RESULTS,SC-A01;SC-A03,REFINED,PARTIAL_SOURCE_ONLY,"AUTH-A01;evidence/a01-onboarding-notifications-390.png",T-AUTH-ONBOARDING,"Onboarding context note наблюдалась; setup/judge/ranking tips проверяют другие packages"
HELP-003,Обратная связь,CAP-HELP-001,AUTH,AUTH,SC-A03,REFINED,PASS_WITH_HYPOTHESIS,"AUTH-A03;evidence/a03-feedback-error-390.png",T-AUTH-HELP,"Все категории есть; текст и ссылка отправлены; 503 сохранил черновик, повтор прошёл; потребность в многострочности — экспертная гипотеза"
PROFILE-005,Активные сессии,CAP-PROFILE-001,RESULTS,AUTH;RESULTS,SC-A02;SC-A03,CROSS_PACKAGE_EVIDENCE,PARTIAL,"AUTH-A02;AUTH-A03;evidence/a02-active-sessions-390.png",T-AUTH-SESSION-EXIT,"AUTH даёт rendered sessions и API revoke-control; полную acceptance профиля ведёт RESULTS"
