requirement,acceptance,branch,run,evidence,status,limitation_or_proposed_access
ADM-001,AT-ADM-003,admin route access,A-RUN-001,"source-review.md; evidence/runtime-observations.json",PARTIAL,"Active-admin route verified; non-admin all-endpoints matrix not rerun in this package"
ADM-002,,catalog fields/search/status filter,A-RUN-001/A-RUN-005,"evidence/screenshots/a01-admin-landing-390.png; evidence/screenshots/a05-blocked-filter-390.png; evidence/runtime-observations.json",PASS,"Observed populated, loading, error, retry-empty, active and blocked states; pagination absent from requirement"
ADM-003,AT-ADM-001/AT-ADM-002,create user/role/one-time password/duplicate,A-RUN-002,"evidence/screenshots/a02-created-temp-password-masked-390.png; evidence/runtime-observations.json",PASS_WITH_LIMITATION,"One duplicate email rejected; exact case-fold pair not separately replayed"
ADM-004,,view/edit profile and role,A-RUN-002/A-RUN-006,"evidence/runtime-observations.json; source-review.md",PARTIAL,"Edit modal and role lifecycle verified; full invalid-field matrix and all optional fields not replayed; stable detail route absent"
ADM-005,AT-AUTH-004/AT-ADM-005/AT-ADM-006,block/session revocation/new-selector exclusion/history retention,A-RUN-005,"evidence/runtime-observations.json",PARTIAL,"Session/login/directory exclusion pass; completed-history retention and captain handover not replayed"
ADM-006,AT-ADM-006,unblock/fresh login/no session resurrection,A-RUN-005,"evidence/runtime-observations.json; evidence/screenshots/a05-blocked-filter-390.png",PASS,"Fresh login and directory return; pre-block session remains 401"
ADM-007,AT-AUTH-007,reset/session revocation/one-time secret/unknown outcome,A-RUN-003/A-RUN-004,"evidence/screenshots/a03-reset-temp-password-masked-390.png; evidence/screenshots/a04-reset-lost-response-390.png; evidence/runtime-observations.json",FAIL_FINDING,"Happy path passes; applied-but-lost response has no GET-first recovery and invites another issue"
ADM-008,AT-ADM-006,persisted lifecycle audit and lightweight user history,A-RUN-002/A-RUN-003/A-RUN-004/A-RUN-005/A-RUN-006,"evidence/runtime-observations.json#auditPersistence; source-review.md",PARTIAL_FAIL_UI,"DB rows for create/reset/block/unblock/role pass without secrets; minimum user audit-history screen/API is absent"
AUTH-003,AT-AUTH-001/AT-AUTH-002,temporary credential handoff,A-RUN-002/A-RUN-003,"evidence/screenshots/a02-created-temp-password-masked-390.png; evidence/runtime-observations.json",PARTIAL,"One-time display and mustChangePassword verified; restricted allowlist and complete first-change UX not replayed"
AUTH-007,AT-AUTH-007,admin recovery lifecycle,A-RUN-003/A-RUN-004,"evidence/runtime-observations.json",FAIL_FINDING,"Successful reset contract passes; unknown-outcome recovery absent"
D6,AT-AUTH-008,role change/self/last-admin/session revocation,A-RUN-006,"evidence/runtime-observations.json",PASS_WITH_LIMITATION,"Target session revocation/self role guard/last-admin block pass; every direct endpoint/actor combination not replayed"
D17,,active outsider visibility,A-RUN-007,"evidence/screenshots/a07-active-match-d17-403-390.png; evidence/runtime-observations.json",PASS,"Exact ordinary detail 403 and no list/history exposure; this denial is correct"
D23/MATCH-017,AT-ADM-MATCH-002,admin active standalone force-close access path,A-RUN-007,"evidence/runtime-observations.json; source-review.md",BLOCKED_DECISION,"Mutation succeeds by direct API, but no discoverable exact-ID UI/minimum read seam; do not open global live catalog"
D23/MATCH-017,AT-ADM-MATCH-001/AT-ADM-MATCH-003..007,other actors/states/tournament/void/purge branches,,source-review.md,NOT_TESTED,"Explicitly outside bounded replay; no blanket PASS"
D35/TOURNAMENT-005/007,AT-TRN-016/AT-TRN-022/AT-TRN-023,active-admin registered add with override and regeneration,A-RUN-008,"evidence/screenshots/a08-scoped-admin-before-1440.png; evidence/screenshots/a08-scoped-admin-after-390.png; evidence/runtime-observations.json",PASS_WITH_LIMITATION,"Necessary admin role path repeated; accepted TOURNAMENT package supplies wider supporting evidence"
EMPTY-001..006,,admin list loading/error/empty/retry,A-RUN-001,"evidence/screenshots/a01-users-loading-390.png; evidence/screenshots/a01-users-error-390.png; evidence/screenshots/a01-users-empty-390.png",PARTIAL,"States exist and retry reaches empty; viewport hierarchy places them below fold; cold-start 60-second branch not injected"
AUDIT-001..003,,actor/action/timestamp/no-secret lifecycle trace,A-RUN-003/A-RUN-004/A-RUN-005/A-RUN-006,"evidence/runtime-observations.json#auditPersistence",PARTIAL,"Persistence sampled; operator read surface absent and audit meta completeness was not exhaustively inspected"
