finding,package,classification,canonical,disposition,evidence,mandatory_context
F-PILOT-001,pilot,expert_hypothesis,GAP-013,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-PILOT-002,pilot,expert_hypothesis,GAP-017,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-PILOT-003,pilot,expert_hypothesis,GAP-017,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-PILOT-004,pilot,runtime_defect,BUG-018;BUG-019,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-PILOT-005,pilot,runtime_observation,GAP-015,"Deduplicated F-RESULTS005; neutral active attribution, no auth-session ownership claim",pilot/report.md;pilot/findings.json,
F-PILOT-006,pilot,expert_hypothesis,GAP-023,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-PILOT-007,pilot,expert_hypothesis,GAP-015,Mapped to canonical task; priority/readiness live only in BACKLOG,pilot/report.md;pilot/findings.json,
F-AUTH-001,auth,runtime_defect,BUG-027,Mapped to canonical task; priority/readiness live only in BACKLOG,auth/report.md;auth/findings.json,auth-coverage-correction.md
F-AUTH-002,auth,runtime_defect,BUG-028,Mapped to canonical task; priority/readiness live only in BACKLOG,auth/report.md;auth/findings.json,auth-coverage-correction.md
F-AUTH-003,auth,expert_hypothesis,GAP-014,Mapped to canonical task; priority/readiness live only in BACKLOG,auth/report.md;auth/findings.json,auth-coverage-correction.md
F-AUTH-004,auth,expert_hypothesis,GAP-015,Mapped to canonical task; priority/readiness live only in BACKLOG,auth/report.md;auth/findings.json,auth-coverage-correction.md
F-AUTH-005,auth,expert_hypothesis,GAP-016,Mapped to canonical task; priority/readiness live only in BACKLOG,auth/report.md;auth/findings.json,auth-coverage-correction.md
F-MATCH-001,match,expert_hypothesis,GAP-013,Mapped to canonical task; priority/readiness live only in BACKLOG,match/report.md;match/findings.json,core-target.md
F-MATCH-002,match,runtime_defect,GAP-018,Preserve no automatic invitations after edit; explicit voluntary invite entry only,match/report.md;match/findings.json,core-target.md
