run_id,scenario_id,utc_time,baseline,viewport,input,role,result,observable_result,persisted_state,evidence,limitations
TEAM-SRC-01,SC-TE01+SC-TE02,2026-09-14T08:01:49Z,GAP012-r6/source-fingerprint-8e876,NA,source,NA,PASS,"canon, routes, UI seams and contract compared",NA,evidence/source-review.md,"source review is not runtime or user evidence"
TEAM-BR-01,SC-TE01-entry-empty-create,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,captain,PASS,"profile entry, empty, pending, created list",created team and captain membership,evidence/runtime-states.json; evidence/screenshots/te01-empty-390.png; evidence/screenshots/te01-create-pending-390.png,"touch emulation; no physical device"
TEAM-BR-02,SC-TE01-edit-error-long,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,360x800,touch-emulation,captain,FAIL,"error alert appears outside viewport at action origin; long layout has no horizontal overflow",successful retry persisted edited slogan,evidence/runtime-states.json; evidence/screenshots/te01-edit-error-origin-360.png; evidence/screenshots/te01-edit-error-location-360.png,"forced one PATCH 500; no offline/loss matrix"
TEAM-BR-03,SC-TE01-invite,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,keyboard+touch-emulation,captain,FAIL,"pending state coherent; combobox aria-activedescendant references absent node",pending invitation persisted,evidence/runtime-states.json; evidence/screenshots/te01-invite-pending-390.png,"keyboard issue deduplicated to BUG-018"
TEAM-BR-04,SC-TE01-accept,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,invitee,PASS,"team preview, global notice, disabled pending actions, welcome return",accepted invitation and active membership,evidence/runtime-states.json; evidence/screenshots/te01-invitee-team-preview-390.png; evidence/screenshots/te01-accept-pending-390.png; evidence/screenshots/te01-member-welcome-390.png,"no reload during pending response"
TEAM-BR-05,SC-TE01-decline-expire,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,invitees,PASS,"terminal history labels and no stale actions",declined and expired statuses,evidence/runtime-states.json; evidence/screenshots/te01-declined-history-390.png; evidence/screenshots/te01-expired-history-390.png,"expiry clock advanced by disposable DB update"
TEAM-BR-06,SC-TE01-revoke,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,1440x900,mouse+API-probe,captain,FAIL,"pending invite visible but no revoke control; candidate DELETE returns 404",invitation remains pending,evidence/runtime-states.json; evidence/screenshots/te01-captain-invite-history-1440.png,"revoke is not in current canon/API; target requires decision"
TEAM-BR-07,SC-TE01-outsider,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,outsider,PASS,"generic insufficient-rights error",GET team 403,evidence/runtime-states.json; evidence/screenshots/te01-outsider-forbidden-390.png,"no stale-session branch"
TEAM-BR-08,SC-TE01-match-cross,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,member,FAIL,"team shortcut fills opponent while creator-not-playing leaves player A empty",form state only,evidence/runtime-states.json; evidence/screenshots/te01-match-team-shortcut-selected-390.png,"cross-package slice only; no repeated full MATCH audit"
TEAM-BR-09,SC-TE01-tournament-cross,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844,touch-emulation,organizer-member,FAIL,"generic roster picker exposes no team grouping or direct-add explanation",tournament created,evidence/runtime-states.json; evidence/screenshots/te01-tournament-roster-picker-390.png,"cross-package slice only; no full tournament flow"
TEAM-BR-10,SC-TE02-remove-transfer,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,1440x900,mouse,captain,FAIL,"remove and transfer execute in one click with no dialog",member removed; captain changed; old captain remains member,evidence/runtime-states.json; evidence/screenshots/te02-remove-immediate-1440.png; evidence/screenshots/te02-transfer-immediate-1440.png,"native dialog count 0; no concurrent competing captain action"
TEAM-BR-11,SC-TE02-leave-archive,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,390x844+1440x900,touch+mouse,member/former,PASS,"leave is confirmed; zero-member archive is read-only and absent from active list",membership ended; archived; pending invites cancelled,evidence/runtime-states.json; evidence/screenshots/te02-leave-confirm-390.png; evidence/screenshots/te02-archived-readonly-1440.png,"historical detail reached by remembered URL"
TEAM-AXE-01,SC-TE01-detail,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,1440x900,automated,captain,PASS,"0 violations for selected WCAG tags on scanned state",NA,evidence/runtime-states.json,"single DOM state; not spoken AT or certification"
TEAM-UNIT-01,AT-TEAM-focused,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,NA,Vitest,NA,PASS,"2 test files; 15/15 tests",mocked page contracts,evidence/verification.md,"focused tests only; full suite intentionally not run"
TEAM-NT-01,shared-accessibility,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,NA,physical+AT,NA,NOT_TESTED,"WebKit, physical mobile, zoom 200%, reduced motion, spoken AT",NA,coverage-delta.md,"outside bounded package runtime"
TEAM-NT-02,user-session,2026-09-14T08:01:49Z,9f71b9f/GAP012-r6,NA,moderated-user,real-user,NOT_TESTED,"no real-user task session or quotes",NA,coverage-delta.md,"expert/runtime audit only"
