episode_id,task,stage,source_type,evidence_ref,observation,participant_proposal,limitation
T01-01,U06,entry,self_report,participant_message_2026-09-17,"Вход через «Начать» затем «Турнир»; открыт первый экран создания",,"Касания и переход непосредственно не наблюдались"
T01-02,U06,first_screen,image,photo_1_sha256_a2e9cfb8801cd6d197bd485ee7e877dd5d30cca81080eb03103d25d433d0760b,"Видны заголовок «Турниры», «Обновить», предзаполненное название, Single/Double, два пункта выбора, пояснение и «Создать»",,"Один кадр не подтверждает серверную запись; оригинал в пакет не копировался"
T01-03,U06,first_screen,self_report,participant_message_2026-09-17,"Заголовок и обновление кажутся лишними; название по умолчанию устраивает; дата проведения названа будущей возможностью","Упростить шапку; в будущем рассмотреть дату проведения","Мнение одного создателя продукта, не оценка частоты у пользователей"
T01-04,U06,format,self_report,participant_message_2026-09-17,"Single/Double неясны без размышления о сетке","Выражать формат через включение сетки проигравших","Предложение не тестировалось"
T01-05,U06,organizer_role,self_report,participant_message_2026-09-17,"Участие организатора понятно, но пункт кажется странным","Перефразировать короче или добавлять себя при наборе игроков","Предложение не тестировалось"
T01-06,U06,consent,self_report,participant_message_2026-09-17,"Пункт согласия и пояснение воспринимаются как шум","Временно скрыть выбор обязательного согласия; оставить прямой состав по умолчанию; убрать пояснение","Policy по D35 выбирается только при создании; изменение требует отдельного решения"
T01-07,U06,screen_structure,self_report,participant_message_2026-09-17,"Первый экран кажется лишним промежуточным шагом и не показывает этап до готовой сетки","Поместить основные правила матчей на первый экран и показать этапность","Перенос и новая структура не тестировались"
T02-01,U06,created_room,self_report,participant_message_2026-09-17_second,"После «Создать» открыт второй этап с повторным согласованием правил",,"Касания, запрос и persisted state непосредственно не наблюдались"
T02-02,U06,settings,image,t02_photo_1_sha256_89a3343037ffcbed5b0adaeda921f680cf85fdc2f578427b70e58644d1133a4e,"Видны summary правил, «Изменить», «Обновить» и пустой состав",,"Изображение подтверждает только кадр; название и участие отличаются от T01"
T02-03,U06,settings,image,t02_photo_2_sha256_dd898b3fdbc5de98ce7465a052fc556add5069b8ff8bfae610ca9380fb3527ce,"В открытых настройках видны native select, 11 очков, правило преимущества и разница 5",,"Сохранение этих настроек не наблюдалось"
T02-04,U06,settings,self_report,participant_message_2026-09-17_second,"Формат и правило преимущества непонятны; повторение настроек и «Обновить» мешают","Все правила задавать на первом экране и показывать как фиксированное резюме с возвратом для изменения до старта","Предложенная структура не проверялась"
T02-05,U06,roster,image,t02_photos_3_4_sha256_7972bea3_eb44b914,"Есть три отдельных поля добавления и блок «Итоги» до игр",,"Кадры показывают один экран в разных состояниях прокрутки"
T02-06,U06,roster,image,t02_photo_5_sha256_916cc70bf3d6d00f9fc0bd589888ceaf41d83a3a9e5fd29c80a209cdf891ea73,"Браузерный системный confirm запрашивает прямое добавление тестового игрока",,"Кадр не доказывает нажатие OK"
T02-07,U06,roster,image,t02_photo_6_sha256_b2e03bdd06fc005f6a7ff2213062ca3b8fc7c70b78c78fd53b6809f70a1f4332,"Показаны «Игрок добавлен», состав 1 и кнопка «Удалить»",,"Видимое состояние без API/БД проверки"
T02-08,U06,roster,image,t02_photo_7_sha256_ba319e69d5787b9754b5c6ac57b4bcbaf576d5db0580663e122037956f58da24,"Видны «Построить сетку» и состав 9 с крупными кнопками «Удалить»",,"Происхождение всех девяти участников не наблюдалось"
T02-09,U06,results,image,t02_photo_8_sha256_67623b5231d131c395e56d6b6bd247be0b5a8b9c5e78753ba6ec5f98ab73a149,"До игр показана таблица девяти участников с нулевыми очками и матчами",,"Не проверялись другие состояния блока"
T02-10,U06,roster,self_report,participant_message_2026-09-17_second,"Отдельные поля, системный confirm, порядок списка и большие «Удалить» кажутся переусложнением","Единое поле с гостем при отсутствии пользователя; список под полем; компактное удаление","Автоматическое создание гостя требует отдельного решения об идентичности"
T02-11,U06,results,self_report,participant_message_2026-09-17_second,"Блок «Итоги» до турнира кажется ненужным","После завершения показывать только призовые места; прочее отражать в сетке","Это предложение участника, не принятое изменение требований"
T03-01,U06,algorithm_choice,image,t03_photo_1_sha256_94c335b98afe60699c69a3aa00c3eb55cd1d520e06df21e3751d3e6d7bad3673,"В диалоге есть компактная и классическая сетка с объяснением",,"Снимок не подтверждает фактический выбор или генерацию"
T03-02,U06,algorithm_choice,self_report,participant_message_2026-09-17_third,"К выбору способа замечаний нет кроме иконки заголовка","Упростить контекстную иконку","Оценка одного участника"
T03-03,U06,generated_room,image,t03_photo_2_sha256_87536daf3a9810ed9054016a3ea49f746071beeeeec7ffbf6fe68fa565118138,"До сетки видны summary, note, success alert, четыре lifecycle buttons и начало roster",,"Один viewport не измеряет число прокруток"
T03-04,U06,generated_room,self_report,participant_message_2026-09-17_third,"Сетка по словам участника видна только на третьем прокручивании","Поставить сетку первой; настройки сделать compact read-only summary; убрать дублирование roster","Число жестов и дистанция не наблюдались"
T03-05,U06,generated_bracket,image,t03_photo_3_sha256_2c388b14f4080ce25c5ed524642ef4fed7cd00c8dae0a9b3c8a4622587ad8766,"До band видны девять seed, поздний add и второй «Изменить способ построения», два select и «Поменять позиции»",,"Назначение select в интерфейсе участнику непонятно; мутация не выполнялась"
T03-06,U06,bracket_navigation,image,t03_photo_4_sha256_20d4e68018662d61ee6a961a797ab13697df9547b4c9a57fd4c0d87c29568beb,"В победительском band есть стрелки, 100%, disabled minus, plus; на показанном участке нет соединительных линий",,"Один кадр не показывает полный граф"
T03-07,U06,bracket_navigation,source_review,TournamentBracket.tsx_240_338,"Рендер connector требует known winnerSide; zoom ограничен 100–150%",,"Исходный код объясняет текущую модель, но не является физическим тестом"
T03-08,U06,third_place,image,t03_photos_5_6_7,"Отдельный third-place band с навигацией и масштабом; соседний scroll-region визуально обрезает край карточки",,"Движение и CSS-причина предполагаемого перекрытия не подтверждены"
T03-09,U06,bracket_topology,self_report,participant_message_2026-09-17_third,"Участник не понимает путь победителей между раундами и просит связи к конкретному месту следующей пары","Показать потенциальные соединения до результатов по всей сетке","Предложение требует дизайна для SE/DE/BYE/third-place и ещё не тестировалось"
