source,source_id,primary_turn_id,atom_id,atom_label,evidence_kind,disposition,decision_or_gate,canonical_task,stage,acceptance,result
user-session-2026-09-16-table-01,SETUP-001,01a0aa84-9ffe-7bf1-a557-79d02fc0388c,main,Я волёл как администратор и создал достаточное количество пользователей,self_report,context_evidence,D36,TECH-008,0,evidence_only,no_implementation_task
user-session-2026-09-16-table-01,AUTH-001,01a0aa92-bdd6-71b1-835a-457ca15d56ad,main,Поля входа не синхронизированы по ширине с кнопками,screenshot_plus_self_report,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-001,01a0aa92-bdd6-71b1-835a-457ca15d56ad,a01,input and action widths,screenshot_plus_self_report,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-001,01a0aa92-bdd6-71b1-835a-457ca15d56ad,a02,touch heights,screenshot_plus_self_report,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-002,01a0aa92-bdd6-71b1-835a-457ca15d56ad,main,«Показать пароль» не должно быть отдельной кнопкой,screenshot_plus_source_review,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-002,01a0aa92-bdd6-71b1-835a-457ca15d56ad,a01,password reveal inside field,screenshot_plus_source_review,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-003,01a0aa92-bdd6-71b1-835a-457ca15d56ad;01a0aa9d-878c-7630-a644-e7443300c2a4,main,"Это приближение не проходит, когда я скрываю клавиатуру",screenshot_plus_self_report,hypothesis_reproduce,reproduction_gate,BUG-040,3,AT-HOME-003,physical_device_pending
user-session-2026-09-16-table-01,AUTH-003,01a0aa92-bdd6-71b1-835a-457ca15d56ad;01a0aa9d-878c-7630-a644-e7443300c2a4,a01,zoom persists after keyboard dismiss,screenshot_plus_self_report,hypothesis_reproduce,reproduction_gate,BUG-040,3,AT-HOME-003,reproduce_before_acceptance
user-session-2026-09-16-table-01,AUTH-004,01a0aa92-bdd6-71b1-835a-457ca15d56ad,main,Внутренняя вторая обводка вообще не должна появляться,screenshot_plus_source_review,accepted_target,D36,BUG-028,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,AUTH-004,01a0aa92-bdd6-71b1-835a-457ca15d56ad,a01,single visible focus boundary without removing keyboard indicator,screenshot_plus_source_review,accepted_target,D36,BUG-020,3,AT-AUTH-009,target_pending_implementation
user-session-2026-09-16-table-01,HOME-001,01a0aba5-70fb-7fa1-92e4-d78b7526ac4c,main,Я не понимаю назначения кнопки «обновить»,screenshot_plus_source_review,accepted_target,D36,GAP-031,2,AT-LIVE-002,target_pending_implementation
user-session-2026-09-16-table-01,HOME-001,01a0aba5-70fb-7fa1-92e4-d78b7526ac4c,a01,background visible refresh instead of persistent manual Refresh,screenshot_plus_source_review,accepted_target,D36,GAP-031,2,AT-LIVE-002,target_pending_implementation
user-session-2026-09-16-table-01,HOME-001,01a0aba5-70fb-7fa1-92e4-d78b7526ac4c,a02,explicit Retry remains after failure,screenshot_plus_source_review,accepted_target,D36,GAP-031,2,AT-LIVE-002,target_pending_implementation
