episode_id,task,evidence_type,participant_statement,observed_action,result,errors,backtracks,assistance,interpretation,finding,confidence_change
SETUP-001,setup,self_report,"Я волёл как администратор и создал достаточное количество пользователей",not_directly_observed,accounts_reported_created,not_assessed,not_assessed,none,none,none,none
AUTH-001,pretest_auth,screenshot_plus_self_report,"Поля входа не синхронизированы по ширине с кнопками",login_fields_visibly_narrower_and_taller_than_buttons,feedback_only,not_assessed,not_assessed,none,login_confirmed_elsewhere_unverified,new_candidate,login_high_elsewhere_unknown
AUTH-002,pretest_auth,screenshot_plus_source_review,"«Показать пароль» не должно быть отдельной кнопкой",separate_password_toggle_button_visible,feedback_only,not_assessed,not_assessed,none,participant_requests_infield_eye_with_true_state,new_candidate,current_high_target_untested
AUTH-003,pretest_auth,screenshot_plus_self_report,"Это приближение не проходит, когда я скрываю клавиатуру",focused_keyboard_frame_appears_enlarged,feedback_only,not_assessed,not_assessed,none,persistence_explicitly_reported_by_participant_not_independently_observed,new_candidate,active_zoom_medium_persistence_self_report
AUTH-004,pretest_auth,screenshot_plus_source_review,"Внутренняя вторая обводка вообще не должна появляться",outer_rounded_and_inner_rectangular_focus_outlines_visible,feedback_only,not_assessed,not_assessed,none,physical_iphone_evidence_supports_existing_focus_finding,F-CMP-004;BUG-020,confidence_increased_no_priority_change
HOME-001,U01_home_feedback,screenshot_plus_source_review,"Я не понимаю назначения кнопки «обновить»",refresh_button_visible_next_to_greeting,feedback_only,not_assessed,not_assessed,none,manual_refresh_unexpected_auto_freshness_requested,new_candidate,participant_reaction_direct_refresh_behavior_not_tested
HOME-002,U01_home_feedback,screenshot_plus_source_review,"в шапке страницы должны остаться: Аватарка, имя, фамилия, место в рейтинге, далее кол-во матчей, побед и поражений",greeting_large_stats_card_and_one_start_button_visible,feedback_only,not_assessed,not_assessed,none,compact_header_two_explicit_actions_and_extra_stats_in_profile_requested,GAP-015_overlap,participant_proposal_not_accepted_requirement
HOME-003,U01_home_feedback,screenshot_plus_self_report,"клик на некоторые цифры в статистике почему-то ведёт на страницу Гугл карт",google_maps_result_screenshot_visible_stats_render_as_nonlinks_in_source,feedback_only,not_assessed,not_assessed,none,browser_address_detection_hypothesis_cause_unverified,new_candidate,result_screenshot_self_report_causality_unverified
HOME-004,U01_home_feedback,screenshot_plus_self_report,"Если в блоке «активные события» показать нечего, то вместо него должен быть блок «история игр»",empty_active_events_before_top_three_and_recent_events_visible,feedback_only,not_assessed,not_assessed,none,proposal_for_tournament_visibility_history_order_and_my_filter_needs_product_reconciliation,new_candidate;GAP-015_overlap,participant_proposal_not_accepted_requirement
HOME-005,U01_home_feedback,screenshot_plus_source_review,"Предусмотри пустые состояния для всех блоков",top_three_before_history_visible_existing_empty_states_in_source,feedback_only,not_assessed,not_assessed,none,top_three_last_and_text_links_requested_new_user_empty_state_reaction_not_observed,new_candidate,participant_proposal_empty_state_quality_untested
HOME-006,U01_home_feedback,screenshot_plus_self_report,"Навигационный блок в нижней части экрана выглядит ортодоксально. Предлагаю от него избавиться",bottom_navigation_notifications_and_profile_shortcuts_visible,feedback_only,not_assessed,not_assessed,none,proposal_to_navigate_profile_from_header_history_and_ranking_from_home_preserve_home_return,new_candidate,participant_proposal_needs_navigation_review
HOME-007,U01_home_feedback,screenshot_plus_source_review,"Сами карточки проведенных ранее матчей ужасно перегружены информацией",dense_recent_match_subtitles_visible_and_source_lists_details,feedback_only,not_assessed,not_assessed,none,participant_requests_large_names_score_duration_secondary_and_winner_state,new_candidate;GAP-024_overlap,participant_reaction_direct_target_unverified
U01-START-001,U01,self_report_plus_screenshot,"Я выбрал «матч», хотя сам экран показался мне пустым, а шаг лишним",start_hub_with_match_tournament_challenge_revenge_visible,match_option_reportedly_selected,not_assessed,not_assessed,none,ambiguous_start_and_extra_decision_reported_two_direct_home_actions_requested,new_candidate;GAP-015_overlap,self_report_of_action_screen_visible_no_live_observation
