requirement_id,acceptance_id,scenario_id,result,evidence,delta,notes
HISTORY-001,AT-VIS-003,SC-R01,PASS,"runs.csv#R-RUN-HISTORY-PAGE;evidence/runtime/history-390.png",none,"Unified match list and cursor continuation observed"
HISTORY-002,AT-VIS-003,SC-R01,PASS,"runs.csv#R-RUN-HISTORY-SEARCH;evidence/runtime/history-filters-360.png",target_delta,"F-RESULTS-001 row context; F-RESULTS-002 URL reproducibility"
HISTORY-003,AT-VIS-001..004,SC-R01,PASS,"evidence/runtime/profile-blocked-historical-1440.png;evidence/runtime/runtime-facts.json",none,"Tutorial excluded; historical blocked profile remained readable; exact active visibility rests on accepted API tests"
HISTORY-004,AT-PROFILE-003;AT-RANK-004,SC-R01-SC-R03,PASS,"evidence/runtime/profile-blocked-historical-1440.png;evidence/runtime/rankings-all-1440.png",none,"Blocked target absent from ranking and challenge, retained historical card"
RANK-001,AT-RANK-001,SC-R02,PASS,"evidence/runtime/rankings-all-1440.png",none,"Wins ordering visible"
RANK-002,AT-RANK-002,SC-R02,PASS,"evidence/runtime/rankings-all-1440.png;evidence/runtime/rankings-month-1440.png;evidence/focused-tests.txt",none,"All/week/month controls and Moscow note; DST boundary NOT_TESTED"
RANK-003,AT-RANK-003,SC-R02,NOT_TESTED,"evidence/source-map.md",none,"Guest ranking contribution not isolated in this package run"
RANK-004,AT-RANK-004,SC-R02,PASS,"evidence/runtime/rankings-all-1440.png",none,"Blocked synthetic user excluded"
RANK-005,AT-RANK-005,SC-R02,PASS,"evidence/runtime/rankings-team-1440.png",none,"Current two-member team ranking observed"
RANK-006,AT-RANK-006,SC-R02,PASS,"evidence/runtime/profile-public-1440.png;evidence/focused-tests.txt",none,"Own card/profile and rival card/challenge guards"
PROFILE-001,AT-PROFILE-002,SC-R03,PASS,"evidence/runtime/profile-validation-error-390.png",none,"Own identity all statistics facts teams and rank rendered"
PROFILE-002,AT-PROFILE-002,SC-R03,PASS,"evidence/runtime/profile-public-1440.png;evidence/runtime/runtime-facts.json",none,"Frequent/rival and tutorial isolation observed"
PROFILE-003,AT-PROFILE-001;AT-PROFILE-004,SC-R03,FAIL,"evidence/runtime/profile-validation-error-390.png",target_delta,"Draft retention passed; F-RESULTS-003 field recovery failed"
PROFILE-004,AT-PROFILE-004,SC-R03,PASS,"evidence/runtime/profile-validation-error-390.png",none,"D10 read-only avatar note; no upload/edit"
PROFILE-005,AT-PROFILE-003,SC-R03,PASS,"evidence/runtime/profile-public-1440.png;evidence/runtime/profile-blocked-historical-1440.png",none,"Private fields hidden; active challenge; blocked no challenge"
AUTH-008,AT-PROFILE-005,SC-R03,PASS,"evidence/runtime/profile-session-revoke-pending-390.png;evidence/focused-tests.txt",none,"Current/other sessions revoke pending and reauth invariants"
NOTIF-001,AT-NOTIF-001,SC-R04,PASS,"evidence/runtime/notifications-actual-after-read-390.png",none,"Read pending invitation kept accept/decline"
NOTIF-002,AT-NOTIF-001,SC-R04,PASS,"evidence/runtime/notifications-history-390.png",none,"Player invite variants exercised; judge/team/tournament actions covered by source/focused tests"
NOTIF-003,AT-NOTIF-003,SC-R04,PASS,"evidence/runtime/history-390.png;evidence/runtime/notifications-history-390.png",none,"Only live pending invitation produced popup; expired/declined/unavailable did not"
NOTIF-004,AT-NOTIF-002;AT-NOTIF-005,SC-R04,PASS,"evidence/runtime/notifications-history-390.png",none,"timeout/source_unavailable/declined visible without actions"
NOTIF-005,AT-NOTIF-004,SC-R04,FAIL,"evidence/runtime/notifications-actual-after-read-390.png;evidence/runtime/runtime-facts.json",target_delta,"Badge/read persistence passed; F-RESULTS-004 local Actual filter stale until refresh"
NOTIF-006,AT-NOTIF-005,SC-R04,PASS,"evidence/runtime/notifications-history-390.png",none,"Match TTL forced only in disposable DB; team 14-day boundary NOT_TESTED"
HOME-001,AT-HOME-001,SC-R01,PASS,"evidence/runtime/home-results-390.png;evidence/runtime/home-results-1440.png",accepted_target_delta,"Populated coverage completes GAP-015 input"
HOME-002,AT-HOME-001,SC-R01,PASS,"evidence/runtime/home-results-1440.png",none,"All five metrics and rival/revenge"
HOME-003,AT-HOME-001,SC-R01,PASS,"evidence/runtime/home-results-1440.png",none,"Five recent detailed event rows"
HOME-004,AT-HOME-001,SC-R01,PASS,"evidence/runtime/home-results-1440.png;evidence/runtime/match-free-judge-detail-1440.png",target_delta,"F-RESULTS-005 current vs historical judge semantics"
HOME-005,AT-HOME-002,SC-R01,PASS,"evidence/runtime/home-results-1440.png;evidence/focused-tests.txt",none,"All-time/month control and stale-response guard"
HOME-006,AT-HOME-002,SC-R01,NOT_TESTED,"evidence/focused-tests.txt",none,"Covered by focused test only; empty Home not browser-rendered in RESULTS"
ONB-003,AT-ONB-003,SC-R03,PASS,"evidence/runtime/runtime-facts.json#scenarios.tutorialIsolation",none,"Tutorial completed through API judge lifecycle"
ONB-004,AT-PROFILE-002;AT-HOME-001,SC-R03,PASS,"evidence/runtime/runtime-facts.json#scenarios.tutorialIsolation",none,"History stats ranking and rival unchanged"
ONB-005,AT-ONB-002,SC-R03,PASS,"evidence/runtime/profile-validation-error-390.png",none,"Restart entry present; explicit completion preserved D34"
NFR-A11Y,N/A,SC-R01-SC-R04,NOT_TESTED,"evidence/runtime/runtime-facts.json#limitations",none,"Spoken screen reader and full browser zoom NOT_TESTED; keyboard DOM evidence is scoped"
